seed,target_factor,layer,source_patch,phase,phase_name,conflict_n,follow,policy_change,outcome_change_mae
16141,identity,0,phase3,2,protection,0,,0.0,0.0
16141,identity,0,phase3,3,integrated,77,0.0,0.0,0.0
16141,identity,0,all_phases,0,continuity,112,0.0,0.0,0.0
16141,identity,0,all_phases,1,allocation,0,,0.0,0.0
16141,identity,0,all_phases,2,protection,0,,0.0,0.0
16141,identity,0,all_phases,3,integrated,77,0.0,0.0,0.0
16141,identity,1,identity_role,0,continuity,112,0.0,0.0066666666666666,0.006843292620033
16141,identity,1,identity_role,1,allocation,0,,0.0,0.0070107262581586
16141,identity,1,identity_role,2,protection,0,,0.0,0.01128566917032
16141,identity,1,identity_role,3,integrated,77,0.5454545454545454,0.2933333333333333,0.0443860068917274
16141,identity,1,beneficiary_role,0,continuity,112,0.0,0.0,7.468733383575454e-05
16141,identity,1,beneficiary_role,1,allocation,0,,0.0,0.0115217482671141
16141,identity,1,beneficiary_role,2,protection,0,,0.0,0.0008373319287784
16141,identity,1,beneficiary_role,3,integrated,77,0.0,0.0,0.0016654848586767
16141,identity,1,concern_context,0,continuity,112,0.0,0.0,1.3286452485772315e-05
16141,identity,1,concern_context,1,allocation,0,,0.0,0.0022135900799185
16141,identity,1,concern_context,2,protection,0,,0.0,0.000288694165647
16141,identity,1,concern_context,3,integrated,77,0.0,0.0,0.000698308518622
16141,identity,1,entities,0,continuity,112,0.0,0.0,0.0012430194765329
16141,identity,1,entities,1,allocation,0,,0.0,0.0150292366743087
16141,identity,1,entities,2,protection,0,,0.0,0.0107513787224888
16141,identity,1,entities,3,integrated,77,0.0389610389610389,0.0266666666666666,0.0256042219698429
16141,identity,1,phase0,0,continuity,112,0.9553571428571428,0.7466666666666667,0.4915258884429931
16141,identity,1,phase0,1,allocation,0,,0.0,0.0109450910240411
16141,identity,1,phase0,2,protection,0,,0.0,0.0070827072486281
16141,identity,1,phase0,3,integrated,77,0.0,0.0,0.0094096660614013
16141,identity,1,phase1,0,continuity,112,0.0,0.0,4.6941186155891046e-05
16141,identity,1,phase1,1,allocation,0,,0.0,0.0032294590491801
16141,identity,1,phase1,2,protection,0,,0.0,0.0001114903134293
16141,identity,1,phase1,3,integrated,77,0.0,0.0,1.8631906641530804e-05
16141,identity,1,phase2,0,continuity,112,0.0,0.0,7.34009372536093e-05
16141,identity,1,phase2,1,allocation,0,,0.0,0.0008258356829173
16141,identity,1,phase2,2,protection,0,,0.0,0.0125839440152049
16141,identity,1,phase2,3,integrated,77,0.0,0.0,0.0001872727880254
16141,identity,1,phase3,0,continuity,112,0.0,0.0,7.848514360375702e-05
16141,identity,1,phase3,1,allocation,0,,0.0,0.0012682408560067
16141,identity,1,phase3,2,protection,0,,0.0,0.001159799285233
16141,identity,1,phase3,3,integrated,77,0.3766233766233766,0.2,0.0329343676567077
16141,identity,1,all_phases,0,continuity,112,0.9553571428571428,0.7466666666666667,0.4917537868022918
16141,identity,1,all_phases,1,allocation,0,,0.0,0.0102970357984304
16141,identity,1,all_phases,2,protection,0,,0.0,0.0125604700297117
16141,identity,1,all_phases,3,integrated,77,0.3636363636363636,0.1933333333333333,0.0322431474924087
16141,identity,2,identity_role,0,continuity,112,0.0,0.0,0.0
