seed,factor,phase,patch,conflict_n,policy_follow,policy_change,outcome_diff_n,outcome_closer_cf,outcome_mediation,model_output_shift,cf_model_gap
16164,identity,3,entities_only,227,1.0,0.45399999618530273,0,,,0.04840194061398506,0.048881858587265015
16164,identity,3,phase_only,227,0.0,0.0,0,,,0.003981328569352627,0.048881858587265015
16164,identity,3,role_phase,227,0.0,0.0,0,,,0.004575989209115505,0.048881858587265015
16164,identity,3,entities_phase,227,1.0,0.45399999618530273,0,,,0.048737555742263794,0.048881858587265015
16164,identity,3,full_relation_coalition,227,1.0,0.45399999618530273,0,,,0.04884079843759537,0.048881858587265015
16164,identity,3,shuffled_full,227,0.3171806037425995,0.7179999947547913,0,,,0.2829309403896332,0.048881858587265015
16164,identity,3,random_norm_full,227,0.05286343768239021,0.041999999433755875,0,,,0.03642692416906357,0.048881858587265015
16164,beneficiary,1,role_only,370,0.0,0.0,347,0.469740629196167,-0.0012705923290923238,0.0031699487008154392,0.24177873134613037
16164,beneficiary,1,entities_only,370,1.0,0.7400000095367432,347,0.9855907559394836,0.7357351183891296,0.2420540601015091,0.24177873134613037
16164,beneficiary,1,phase_only,370,0.0,0.0,347,0.5389049053192139,0.00028224277775734663,0.003586821025237441,0.24177873134613037
16164,beneficiary,1,role_phase,370,0.0,0.0,347,0.5389049053192139,-0.0008943745633587241,0.005265379790216684,0.24177873134613037
